PREFERENTIAL RESTRICTIONS	SYNSET
absorbent	bn:00000467n
activity	bn:00001172n
animal	bn:00004222n
animate_being	bn:00004222n
art	bn:00005926n
artifact	bn:00005956n
authority	bn:00007300n
belief	bn:00009716n 
body_process	bn:00001173n
communication	bn:00021222n
conduit	bn:00062568n
container	bn:00022129n
determination	bn:00026651n
event	bn:00032021n 
human	bn:00044576n
instructions	bn:00027356n
knowledge	bn:00020452n
law (legal_document)	bn:00046963n
light	bn:00051108n 
liquid	bn:00051473n
matter	bn:00053867n
music	bn:00056443n
musical_instrument	bn:00046965n
physical_object	bn:00058442n 
place	bn:00062699n
costruzioni	bn:00063731n
social_group	bn:00072536n 
trait	bn:00077930n
vehicle	bn:00079675n 
rhythm	bn:00009396n
material	bn:00053801n
action	bn:00001127n
status	bn:00063703n
chemical_agent	bn:00018098n
expressive_style	bn:00032400n
feeling	bn:00033963n
coding_system	bn:00020370n
action 	bn:00001127n
institution	bn:00031641n
object	bn:00058442n
body	bn:00011744n 
body_part	bn:00011769n
research	bn:00030952n
container	bn:00022129n 
abstract	bn:00000492n 
surface	bn:00075373n
liquid	bn:00051471n
gas	bn:00037382n
food	bn:00035650n 
living_thing	bn:00004257n
disease	bn:00027546n
body_of_water	bn:00011766n
athlete	bn:00006747n
physical_entity	bn:00062164n
heat	bn:00043415n
radiation	bn:00065874n
odor	bn:00005845n
flame	bn:00034625n
vapor	bn:00079571n
plant 	bn:00035324n
idea	bn:00045800n 
device	bn:00026716n
magnitude	bn:00052757n
value	bn:00079508n
number	bn:00058285n
facility	bn:00032645n
gesture	bn:00040336n
means_of_transportation	bn:01731490n 
location	bn:00051760n
information	bn:00046705n 
sound	bn:00072892n
written_communication	bn:00010851n
disorder	bn:00027634n
pathologica_state	 bn:00061011n
physical_process	bn:00062167n 
medium of exchange	bn:00054159n
medicine 	bn:00054128n
excrement	bn:00011778n
dance	bn:00025144n
musical_genre	bn:00037743n
clothing	bn:00006125n
leader	bn:00050371n
rank	bn:00066152n
nobility	bn:00005659n 
task	bn:00049573n
color	bn:00020726n
bird	bn:00010605n
cloth_covering	bn:00019982n
needlework	bn:00057171n
contestant	bn:00022164n
team	bn:00073699n
score	bn:00069750n
shot	bn:00071281n
playing_period	bn:00061609n
hit	bn:00044274n
game	bn:00037180n 
body_part	bn:00011769n
unit_of_measurement	bn:00079106n
auditory_communication	bn:00007129n
substance	bn:00074985n
speech act	bn:00073248n
position	bn:00010073n
language_unit	bn:00049924n
natural_language	bn:00056990n
social_event	bn:00072535n 
plant	bn:00035324n
soil	bn:00041883n
plant_part	bn:00062812n
flora	bn:00012321n
person	bn:00046516n
time period	bn:00061605n
ritual	bn:00067939n
prayer	bn:00059529n
religious_ritual	 bn:00067043n
structure	bn:00022071n
monetary_unit	bn:00055642n
taste	bn:00076192n
key	bn:00048996n
contest	bn:00021338n
education	bn:00026980n
atmosferic_phenomenon	bn:00006810n
